transcript_id,1BS,1DS,2BS,2DS,3BS,3DS
g36086.t1,1741,1403,1706,2240,1414,1756
g36087.t1,5307,3717,3786,6544,3617,5468
g36089.t1,186,93,166,160,121,188
g36090.t1,22,60,161,101,103,75
g36091.t1,17,47,80,23,39,25
g36092.t1,8,34,64,24,37,26
g36093.t1,8,11,34,31,57,39
g36088.t1,27187,37403,16523,23741,20847,49811
g36094.t1,223,71,93,84,75,84
g36095.t1,1249,786,1094,765,860,1280
g36096.t1,17,4,12,0,6,18
g36097.t1,299,482,319,519,346,563
g36098.t1,18,10,35,12,35,21
g36101.t1,386,334,634,349,335,580
g36102.t1,231,83,90,188,66,222
g36103.t1,1825,1029,1526,2533,1314,2380
g36104.t1,3120,2531,2769,3390,2466,2708
g36105.t1,422,254,861,384,594,757
g36106.t1,1721,1206,1990,1564,1522,1669
g36107.t1,478,273,795,647,587,639
g36108.t1,1515,674,749,582,746,1554
g36109.t1,1211,525,1183,571,974,1341
g36113.t1,0,0,0,0,0,0
g36115.t1,6,0,66,0,56,42
g36114.t1,2656,1465,2225,1418,1436,3029
g36120.t1,0,0,0,0,0,0
g36121.t1,0,0,0,0,0,0
g36116.t1,1254,874,1645,1067,1360,1695
g36117.t1,403,99,240,224,189,293
g36118.t1,285,58,284,94,142,143
g36122.t1,4,0,0,0,0,0
g36123.t1,104,64,138,106,87,122
g36124.t1,27,10,0,24,0,9
g36125.t1,4,6,0,0,7,3
g36127.t1,3,0,0,0,0,0
g36128.t1,4,0,0,0,0,0
g36132.t1,2,0,1,0,1,4
g36133.t1,3,0,0,0,0,0
g36136.t1,0,4,3,7,1,0
g36134.t1,2,7,0,2,0,0
g36135.t1,14,0,12,10,0,3
g36137.t1,2,3,4,2,7,6
g36138.t1,9,0,30,3,46,10
g36139.t1,83,3,82,13,36,64
g36146.t1,28,40,28,18,11,11
g36141.t1,1,0,0,0,0,0
g36143.t1,1487,366,386,679,539,595
g36144.t1,1063,287,322,506,442,440
g36145.t1,1689,326,347,743,444,656
g36148.t1,8,0,2,8,0,8
g36171.t1,145,51,168,127,163,220
g36172.t1,134,107,59,32,30,37
g36174.t1,684,367,511,739,437,665
g36175.t1,30,5,11,11,19,29
g36180.t1,302,133,304,235,229,394
g36181.t1,89,16,13,44,19,24
g36178.t1,3137,1994,3244,2797,2495,3453
g36179.t1,482,279,313,414,300,386
g36183.t1,47,67,130,35,136,96
g36184.t1,218,11,12,0,7,59
g36182.t1,2214,2349,3364,2947,2405,3119
g36185.t1,246,45,43,46,42,115
g36186.t1,1262,801,1574,828,1337,1650
g36188.t1,86,9,9,25,0,35
g36189.t1,24,0,28,13,0,45
g36190.t1,0,4,2,13,9,3
g36192.t1,23,0,15,9,15,16
g36193.t1,449,29,41,179,18,197
g36194.t1,143,46,290,216,136,206
g36198.t1,1417,198,1374,912,922,1150
g36201.t1,6,0,0,2,0,7
g36199.t1,256,92,324,220,158,270
g36200.t1,306,201,398,374,226,441
g36202.t1,395,560,546,349,442,437
g36228.t1,197,180,139,194,102,173
g36229.t1,23,7,0,0,0,0
g36206.t1,0,0,0,0,1,2
g36214.t1,0,0,0,0,0,0
g36215.t1,0,6,4,9,2,4
g36216.t1,0,0,0,0,0,0
g36219.t1,0,0,0,4,0,11
g36225.t1,0,232,16,220,15,281
g36205.t1,1,0,0,0,0,1
g36210.t1,7,4,17,8,11,8
g36211.t1,3,0,0,0,0,0
g36220.t1,35,0,0,34,5,24
g36221.t1,524,4,14,465,6,518
g36223.t1,1040,1027,0,509,0,520
g36224.t1,1,4,0,0,0,2
g36226.t1,7,2,43,5,22,28
g36227.t1,3,0,6,3,8,0
g36230.t1,95,183,99,198,139,318
g36232.t1,0,126,0,208,0,191
g36231.t1,1082,1877,1175,2198,850,1890
g36233.t1,63,62,121,48,73,138
g36235.t1,17,27,43,26,42,19
g36239.t1,139,22,129,165,82,149
g36240.t1,564,348,1279,1187,773,1332
g36248.t1,39,1578,113,90,101,115
g36249.t1,32,64,24,7,27,19
g36241.t1,812,267,384,504,254,681
g36242.t1,86,93,139,148,101,213
g36245.t1,291,123,181,332,202,312
g36246.t1,1147,2523,1414,2363,822,2512
g36250.t1,0,70,97,0,99,0
g36254.t1,174,339,600,294,513,425
g36280.t1,173,73,75,991,259,280
g36259.t1,0,0,0,0,0,0
g36260.t1,0,0,0,0,0,0
g36263.t1,0,0,46,49,37,29
g36267.t1,0,0,0,0,0,0
g36268.t1,0,0,0,0,0,0
g36269.t1,0,0,0,0,0,4
g36270.t1,0,0,0,0,0,0
g36275.t1,0,42,3,8,0,2
g36261.t1,3338,7760,3315,3289,1808,4256
g36262.t1,1746,1513,3486,6106,1934,5107
g36271.t1,33,7,59,8,51,71
g36272.t1,6,3,7,4,23,18
g36273.t1,12,12,51,5,55,40
g36274.t1,321,269,481,378,323,488
g36276.t1,2734,1407,2971,2376,1822,1737
g36277.t1,145,1886,213,850,258,1219
g36281.t1,23,0,21,94,30,46
g36283.t1,0,4,21,1,7,0
g36285.t1,183,109,59,556,103,129
g36294.t1,59,14,50,66,35,22
g36296.t1,0,0,0,5,0,0
g36300.t1,0,0,4,0,0,0
g36295.t1,458,227,515,1097,176,342
g36298.t1,6,6,13,12,3,10
g36299.t1,30,4,27,12,10,25
g36301.t1,8,8,18,9,28,12
g36302.t1,41,4,24,16,5,15
g36303.t1,148,18,88,97,94,97
g36304.t1,655,804,597,966,552,1612
g36305.t1,5084,3150,4261,4711,3496,4228
g36306.t1,17006,9038,15007,14816,11937,15008
g36307.t1,187,90,144,96,82,79
g36310.t1,531,148,299,220,192,294
g36311.t1,2519,1400,2906,1696,1752,2015
g36312.t1,622,349,939,767,646,823
g36319.t1,5,3,5,0,6,3
g36320.t1,1,0,0,0,0,0
g36321.t1,322,47,184,114,176,392
g36313.t1,391,138,277,757,212,233
g36314.t1,226,140,233,230,172,272
g36315.t1,2023,1638,1815,1943,1511,2103
g36316.t1,1037,801,1055,934,772,1251
g36317.t1,279,179,480,315,343,340
g36322.t1,2,0,0,0,0,0
g36323.t1,9,5,95,0,64,0
g36324.t1,1587,876,1484,1370,1258,1309
g36331.t1,0,0,41,0,30,0
g36332.t1,38,52,0,52,0,94
g36333.t1,128,28,241,128,183,114
g36334.t1,639,219,742,313,549,372
g36335.t1,1404,736,1281,1408,968,1341
g36336.t1,121,49,281,30,190,35
g36337.t1,195,81,344,73,197,130
g36338.t1,180,116,153,110,84,190
g36339.t1,110,674,12,482,0,607
g36343.t1,234,59,341,125,316,224
g36344.t1,438,228,403,348,407,368
g36348.t1,30,6,7,5,25,38
g36346.t1,209,43,247,70,212,52
g36347.t1,29,24,69,37,37,77
g36351.t1,417,359,617,296,606,507
g36349.t1,6564,3269,4297,7550,4940,4792
g36352.t1,1683,1182,1828,1995,1234,1962
g36353.t1,281,172,251,301,166,410
g36354.t1,87,2,36,21,34,53
g36355.t1,380,204,771,430,483,342
g36357.t1,52,23,61,49,55,55
g36359.t1,1939,1109,2369,2412,1488,2954
g36366.t1,0,0,2,6,0,3
g36369.t1,0,4,0,23,0,26
g36360.t1,667,224,392,594,310,661
g36363.t1,211,108,291,227,193,258
g36364.t1,1270,954,1018,1588,1067,1578
g36367.t1,19,3,17,6,8,3
g36368.t1,4,5,2,7,1,5
g36378.t1,3,4,5,4,6,10
g36392.t1,13,7,17,16,10,17
g36393.t1,18,10,6,6,8,16
g36394.t1,4,0,9,3,11,0
g36405.t1,12,0,0,0,0,0
g36406.t1,0,10,2,3,0,4
g36407.t1,1,2,1,2,2,1
g36409.t1,29,30,31,33,24,53
g36410.t1,146,193,374,114,270,302
g36418.t1,1214,1003,853,914,671,1114
g36419.t1,395,359,461,449,360,540
g36421.t1,24,0,0,6,0,0
g36422.t1,561,455,546,460,324,552
g36424.t1,735,491,904,595,689,708
g36425.t1,511,376,475,481,399,654
g36426.t1,702,279,430,300,395,889
g36427.t1,576,476,826,1272,1012,1312
g36428.t1,1065,1121,1812,1401,1403,1506
g36429.t1,2315,2546,4921,2975,3441,2927
g36430.t1,45,64,53,41,35,51
g36435.t1,3,0,0,0,0,0
g36431.t1,934,563,1028,842,961,933
g36432.t1,183,73,96,133,73,147
g36433.t1,1679,1208,2003,1311,1845,1262
g36434.t1,1970,1059,2136,1701,1860,2102
g36437.t1,14,6,28,65,5,25
g36436.t1,1224,548,865,1140,702,753
g36438.t1,1119,383,803,875,773,714
g36439.t1,1438,1000,1596,1162,1110,1735
g36440.t1,738,418,716,772,661,698
g36441.t1,919,597,926,1209,595,976
g36442.t1,384,406,651,723,459,773
g36454.t1,148,85,129,50,78,167
g36455.t1,0,0,0,0,0,0
g36445.t1,328,400,84,85,286,139
g36446.t1,2,4,0,0,0,0
g36447.t1,4,2,4,12,2,0
g36449.t1,15,10,12,18,8,6
g36450.t1,178,43,416,256,195,309
g36451.t1,199,150,259,208,258,222
g36452.t1,570,294,837,303,552,432
g36458.t1,123,353,360,217,172,165
g36460.t1,8,4,4,16,0,7
g36465.t1,480,195,645,355,453,267
g36466.t1,39,19,27,4,16,58
g36468.t1,34,5,18,53,7,2
g36469.t1,7,8,21,5,11,27
g36472.t1,4,0,0,0,0,0
g36477.t1,140,135,171,150,124,277
g36478.t1,110,38,177,92,102,160
g36482.t1,1,1,0,1,0,0
g36481.t1,496,264,381,405,278,448
g36484.t1,114,13,64,63,80,66
g36487.t1,20,0,12,0,15,0
g36498.t1,0,0,0,0,0,0
g36490.t1,0,0,2,0,0,0
g36491.t1,0,0,0,0,0,0
g36489.t1,163,74,279,128,173,119
g36492.t1,390,308,541,428,591,465
g36501.t1,1,0,0,5,0,0
g36506.t1,2,8,4,9,2,9
g36513.t1,1188,607,134,1340,550,26
g36518.t1,1105,375,601,1889,525,476
g36519.t1,365,139,478,326,217,404
g36521.t1,445,394,494,654,319,553
g36524.t1,519,365,497,502,376,573
g36525.t1,149,75,36,96,43,70
g36522.t1,3566,2034,3212,4042,2441,3756
g36523.t1,564,348,543,538,538,485
g36528.t1,0,3,4,0,0,0
g36526.t1,2225,1515,3152,2583,2353,2297
g36527.t1,6,0,8,6,3,7
g36529.t1,155,87,216,253,168,184
g36530.t1,829,501,875,760,680,737
g36533.t1,1339,907,1146,1774,1034,1537
g36535.t1,9113,6060,9495,9513,7852,8339
g36541.t1,21,11,41,42,56,36
g36542.t1,4,4,0,0,2,2
g36547.t1,0,0,0,3,0,0
g36545.t1,17648,7248,3842,4916,5497,9303
g36546.t1,1138,437,242,344,295,613
g36549.t1,3269,2018,3350,3127,2588,2750
g36552.t1,4,0,0,1,0,3
g36553.t1,39,5,14,0,6,19
g36554.t1,1,2,2,0,0,1
g36559.t1,205,57,244,279,198,290
g36560.t1,12,3,3,9,3,8
g36580.t1,3,0,0,5,0,7
g36581.t1,11,4,23,4,18,7
g36587.t1,69,24,25,2,30,0
g36589.t1,14,8,47,29,38,21
g36604.t1,0,0,0,0,0,0
g36609.t1,1,0,0,0,2,0
g36610.t1,0,0,2,0,0,0
g36611.t1,2,0,1,0,0,0
g36612.t1,1,3,0,1,2,1
g36620.t1,0,0,4,1,0,1
g36621.t1,99,8,68,64,37,47
g36623.t1,61,33,0,42,0,82
g36626.t1,12,13,12,8,12,10
g36624.t1,169,116,517,247,276,232
g36625.t1,324,153,146,301,173,256
g36629.t1,0,0,0,0,0,0
g36628.t1,27,0,52,59,16,20
g36630.t1,6,0,33,0,18,10
g36636.t1,1102,871,2017,1156,1288,1410
g36637.t1,8,0,0,9,0,0
g36638.t1,4562,2717,6124,6463,4919,5633
g36639.t1,202,38,150,191,114,121
g36642.t1,333,171,383,356,303,491
g36643.t1,286,353,625,538,461,559
g36644.t1,541,404,587,672,410,722
g36646.t1,0,6,0,0,0,0
g36645.t1,1104,919,2038,1516,1573,1706
g36652.t1,20,10,4,7,0,11
g36662.t1,1443,616,1155,841,857,371
g36663.t1,1399,956,1151,1491,919,910
g36664.t1,270,106,430,758,344,249
g36665.t1,195,140,401,232,257,212
g36666.t1,1312,837,1253,1248,957,1272
g36668.t1,120,64,126,114,281,222
g36669.t1,1,7,4,0,2,3
g36682.t1,8,7,0,14,0,21
g36686.t1,611,570,555,1101,417,1474
g36690.t1,0,0,0,0,0,0
g36691.t1,0,0,0,0,0,0
g36700.t1,0,0,5,0,6,7
g36687.t1,50,38,114,22,46,95
g36688.t1,10,0,0,0,0,0
g36689.t1,13,9,20,9,8,16
g36692.t1,4,0,0,0,0,0
g36693.t1,11,9,0,20,0,22
g36695.t1,49,35,50,24,20,47
g36696.t1,54,30,70,61,49,41
g36698.t1,10,14,2,9,2,8
g36699.t1,39,32,24,84,30,28
g36701.t1,68,0,11,4,0,0
g36702.t1,284,213,352,427,365,293
g36703.t1,2001,1213,1264,1448,1248,1183
g36704.t1,6648,3611,5336,5972,3648,7062
g36705.t1,855,386,925,708,748,933
g36707.t1,18,48,41,26,32,22
g36706.t1,2059,1323,1417,1668,1081,2310
g36708.t1,4479,3330,4728,5872,3453,5040
g36715.t1,6,7,33,23,12,27
g36710.t1,153,145,274,222,163,244
g36711.t1,810,562,900,724,621,806
g36712.t1,55,13,4,3,2,24
g36713.t1,19,0,0,0,0,10
g36714.t1,1337,618,1553,1135,1244,1555
g36716.t1,871,337,573,591,456,1262
g36717.t1,4,0,0,0,0,1
g36718.t1,447,122,136,365,79,620
g36720.t1,6438,6663,9929,5239,6047,10391
g36721.t1,810,1203,1456,944,1080,1185
g36722.t1,616,536,774,671,514,703
g36723.t1,29,11,64,27,36,27
g36725.t1,103,51,71,99,74,100
g36730.t1,122,36,76,156,54,188
g36731.t1,287,93,112,192,88,165
g36732.t1,294,196,478,210,279,258
g36733.t1,98,53,149,137,116,217
g36734.t1,208,86,297,136,200,220
g36736.t1,5,0,0,25,0,8
g36735.t1,939,627,1487,738,798,1131
g36737.t1,6613,4216,7135,9945,5637,7751
g36743.t1,0,0,230,4,260,4
g36744.t1,0,0,6,7,0,0
g36745.t1,23,311,415,7,528,15
g36738.t1,825,499,994,889,961,1773
g36739.t1,1511,1306,1918,1569,1426,1528
g36740.t1,1167,1065,1449,1800,996,1045
g36741.t1,14632,8083,19763,20011,13094,16148
g36746.t1,1069,882,1602,1337,1303,1855
g36748.t1,5,3,8,9,6,5
g36749.t1,9,0,6,11,3,7
g36747.t1,2014,742,1685,1920,844,1424
g36752.t1,55,43,5,43,8,41
g36753.t1,7,3,0,7,0,10
g36754.t1,283,160,116,231,118,320
g36755.t1,1,0,0,1,0,0
g36763.t1,0,0,0,0,0,4
g36765.t1,1,0,0,1,1,3
g36766.t1,2275,1684,2498,2562,1883,2863
g36767.t1,2976,2648,3573,2703,3347,2918
g36775.t1,0,0,0,0,0,0
g36777.t1,0,0,0,0,0,0
g36776.t1,35,5,30,14,24,32
g36778.t1,72,19,61,62,35,27
g36779.t1,19,0,8,4,7,20
g36784.t1,3,1,4,3,12,2
g36788.t1,717,302,838,632,604,988
g36793.t1,11,6,0,5,7,11
g36794.t1,111,51,184,95,47,76
g36795.t1,47,7,28,23,23,18
g36796.t1,0,0,0,8,0,0
g36799.t1,71,0,0,0,0,0
g36798.t1,2690,2549,3251,3145,2705,2804
g36810.t1,44,15,57,100,55,81
g36813.t1,14356,9681,12992,22400,9531,7736
g36814.t1,146,92,209,172,144,233
g36815.t1,9162,6541,9269,8928,8094,8890
g36816.t1,3229,1664,2486,2729,1968,2551
g36817.t1,1189,533,1831,1660,1492,2194
g36820.t1,13831,3217,10630,7785,6068,14908
g36821.t1,479,284,650,456,459,500
g36822.t1,78,57,48,66,37,76
g36823.t1,1181,638,1477,1029,1015,1415
g36824.t1,2730,807,1509,324,1167,2541
g36825.t1,2546,1344,2544,3055,2476,1825
g36829.t1,0,0,0,0,0,0
g36830.t1,0,0,0,0,0,0
g36839.t1,0,0,0,0,0,0
g36840.t1,0,0,0,0,0,0
g36841.t1,0,0,0,0,0,0
g36842.t1,0,0,2,0,0,0
g36843.t1,0,21,0,16,10,0
g36845.t1,0,0,0,0,0,0
g36848.t1,0,0,0,0,0,0
g36851.t1,0,0,0,2,0,0
g36852.t1,0,0,0,0,0,0
g36858.t1,0,0,0,0,0,0
g36859.t1,0,0,3,3,1,0
g36837.t1,2,8,3,1,1,2
g36838.t1,11,3,0,14,5,4
g36860.t1,6,0,0,5,0,0
g36861.t1,9,3,0,0,0,4
g36862.t1,10,11,0,6,0,0
g36863.t1,25,45,0,9,5,0
g36864.t1,143,108,44,175,51,213
g36869.t1,3,0,0,8,0,2
g36877.t1,55,0,0,10,6,0
g36876.t1,5622,3607,5676,6023,4286,5272
g36881.t1,5819,5716,3346,8965,3230,7170
g36882.t1,136,7,8,23,24,13
g36884.t1,5,2,5,5,8,4
g36885.t1,44394,29774,33621,37061,33601,31376
g36886.t1,5521,3570,4393,4249,3785,4944
g36887.t1,1266,1289,1142,1154,713,1020
g36888.t1,682,176,508,152,482,621
g36893.t1,12,23,155,97,101,113
g36889.t1,2676,2108,3295,3197,2150,3060
g36890.t1,1076,486,671,789,589,688
g36891.t1,138,24,0,84,25,115
g36900.t1,779,599,588,756,487,688
g36901.t1,4,8,14,19,17,4
g36902.t1,22,13,15,1,12,11
g36903.t1,8,22,41,5,20,11
g36894.t1,14952,9173,16828,15608,13073,16790
g36905.t1,84,27,81,101,80,77
g36906.t1,978,465,728,924,623,900
g36907.t1,796,442,530,644,505,654
g36911.t1,30,43,60,59,54,72
g36919.t1,14,8,10,8,2,12
g36920.t1,0,0,11,14,0,12
g36912.t1,1927,2025,2106,4465,1437,4733
g36913.t1,1250,376,716,694,713,740
g36917.t1,1907,1014,2464,2048,2024,2140
g36918.t1,164,128,120,114,88,132
g36940.t1,3,0,0,0,0,0
g36941.t1,2,1,4,4,0,0
g36922.t1,0,0,0,9,0,0
g36923.t1,0,0,0,0,0,0
g36924.t1,0,0,0,0,0,0
g36925.t1,0,13,34,25,25,24
g36930.t1,0,0,76,0,36,0
g36936.t1,0,0,0,0,0,0
g36937.t1,0,15,29,17,36,33
g36938.t1,0,0,9,13,10,3
g36927.t1,1,0,14,10,12,0
g36928.t1,11,0,0,0,11,0
g36929.t1,11,1,4,0,2,1
g36931.t1,1300,0,3916,0,1535,0
g36932.t1,2,0,0,0,0,0
g36939.t1,458,295,440,913,154,83
g36943.t1,0,1,12,4,16,27
g36944.t1,32,2,11,0,12,24
g36945.t1,20,2,5,3,6,35
g36946.t1,0,0,2,2,0,4
g36947.t1,14,11,4,4,2,15
g36948.t1,25,34,32,72,20,103
g36949.t1,3025,7282,1528,2767,2503,2353
g36950.t1,3353,1586,2132,2318,1559,2432
g36952.t1,53,21,32,22,23,34
g36951.t1,12227,11300,9562,33509,6373,6974
g36953.t1,759,658,945,1179,712,811
g36954.t1,77,16,69,39,27,90
g36956.t1,676,151,311,353,250,340
g36961.t1,524,229,640,680,488,469
g36957.t1,18,17,77,36,56,39
g36958.t1,561,407,608,542,604,698
g36959.t1,576,399,763,865,481,681
g36960.t1,10433,6377,10697,11236,8316,15303
g36962.t1,607,339,562,440,300,844
g36963.t1,26,3,0,99,11,84
g36967.t1,0,0,1,0,0,2
g36970.t1,0,0,0,0,0,0
g36964.t1,31,28,49,24,39,24
g36968.t1,10,16,0,22,0,11
g36969.t1,9,2,2,8,0,7
g36971.t1,95,37,49,127,39,51
g36972.t1,155,124,166,128,193,158
g36973.t1,201,107,111,203,97,219
g36974.t1,2557,2131,3749,3469,2469,3969
g36975.t1,647,403,1246,655,740,1235
g36976.t1,568,520,454,601,474,715
g36977.t1,1826,1049,1756,1543,1322,1955
g36978.t1,787,531,1011,742,618,983
g36980.t1,115,18,95,68,37,166
g36983.t1,0,0,2,4,0,2
g36981.t1,203,33,85,84,89,195
g36984.t1,1842,792,1251,1185,1205,1510
g36985.t1,255,182,304,253,241,385
g36986.t1,1015,70,892,546,676,1564
g36991.t1,174,93,198,232,171,324
g36992.t1,2053,1073,2208,2468,1710,2827
g36994.t1,3437,1664,3716,3845,3081,4039
g37000.t1,38,0,14,19,0,20
g36997.t1,613,247,706,576,427,690
g36998.t1,379,117,190,107,129,492
g36999.t1,57,11,8,28,17,15
g37001.t1,14,0,10,21,18,26
g37002.t1,1096,703,1445,1191,1132,1235
g37003.t1,297,150,172,134,147,141
g37005.t1,48,30,9,86,5,67
g37006.t1,187,276,216,179,159,216
g37007.t1,378,595,394,432,350,489
g37010.t1,0,0,0,7,3,0
g37013.t1,0,0,0,0,0,0
g37008.t1,432,532,836,489,584,747
g37009.t1,4,6,0,1,0,0
g37011.t1,323,351,209,152,295,109
g37012.t1,45,28,61,31,15,70
g37014.t1,82,67,123,47,81,102
g37015.t1,21,6,15,0,4,8
g37016.t1,44,63,18,38,17,80
g37017.t1,6,6,19,17,8,30
g37018.t1,116,12,84,86,91,107
g37019.t1,3,2,4,1,0,0
g37020.t1,14,5,8,0,1,2
g37023.t1,167,86,192,123,156,171
g37027.t1,50,43,87,116,123,60
g37028.t1,3402,2733,4178,4157,3272,4810
g37032.t1,621,449,1292,545,927,1208
g37038.t1,112,3387,1018,44,640,124
g37039.t1,82,116,160,145,97,174
g37040.t1,548,346,469,482,346,671
g37041.t1,744,288,312,561,299,457
g37042.t1,252,112,101,328,87,250
g37043.t1,406,123,248,294,153,347
g37048.t1,0,0,0,0,0,0
g37049.t1,0,0,0,0,0,0
g37044.t1,383,277,431,521,287,418
g37045.t1,23,31,71,77,46,48
g37046.t1,17,0,0,0,0,14
g37050.t1,2974,1989,2448,2873,2136,2574
g37055.t1,371,253,295,89,233,139
g37057.t1,560,842,963,1215,693,1512
g37058.t1,1304,544,879,1219,808,1217
g37059.t1,5372,3188,4293,6268,3048,4910
g37061.t1,351,174,301,81,278,220
g37063.t1,157,74,168,128,111,160
g37060.t1,24181,17162,24353,22534,19203,21136
g37065.t1,179,45,90,118,83,187
g37066.t1,668,371,842,341,656,685
g37071.t1,1432,446,544,708,354,1190
g37073.t1,39,8,40,4,35,6
g37074.t1,906,1327,872,796,782,979
g37077.t1,109,34,52,32,63,130
g37079.t1,125,27,252,186,92,141
g37080.t1,322,199,1598,739,664,379
g37081.t1,369,288,343,546,276,332
g37082.t1,1986,1118,2265,1491,1988,1823
g37083.t1,457,266,548,488,299,395
g37086.t1,0,0,6,0,20,0
g37084.t1,1268,612,1344,2877,917,2332
g37085.t1,6,0,7,5,3,0
g37087.t1,18,11,1,0,14,8
g37088.t1,1505,1235,1697,4398,1424,3891
g37089.t1,7,0,0,0,0,6
g37090.t1,2009,1180,2150,4547,1619,3852
g37091.t1,738,326,674,534,471,955
g37092.t1,140,92,133,155,142,119
g37093.t1,608,449,1155,610,738,780
g37099.t1,348,298,341,330,268,331
g37094.t1,171,179,130,131,54,107
g37095.t1,798,828,922,763,785,1008
g37096.t1,264,94,159,169,100,193
g37097.t1,1824,1095,1454,1197,1141,1487
g37100.t1,478,462,648,553,497,686
g37101.t1,1442,839,1378,1383,943,1399
g37102.t1,1678,591,1963,644,1266,1828
g37103.t1,1892,1000,1567,1554,1190,1062
g37104.t1,8270,5988,5785,11525,5449,3402
g37105.t1,1680,641,805,1175,693,660
g37108.t1,1530,676,1440,1187,986,1968
g37109.t1,1432,726,1437,525,720,1597
g37114.t1,2419,1262,2517,2721,2369,3139
g37115.t1,0,0,13,0,8,0
g37116.t1,1587,626,2040,1050,1183,1065
g37125.t1,0,8,17,10,10,9
g37124.t1,2,0,5,7,6,2
g37128.t1,6,2,0,0,13,4
g37129.t1,15,7,8,7,7,16
g37131.t1,0,0,0,17,0,6
g37132.t1,0,0,0,0,0,0
g37133.t1,0,0,0,0,0,0
g37134.t1,13,0,1,0,6,0
g37136.t1,6,9,2,3,0,4
g37144.t1,18,28,45,41,42,55
g37145.t1,20,21,43,42,69,64
g37146.t1,4,0,4,155,0,132
g37188.t1,8,14,39,18,34,38
g37196.t1,57,23,24,0,9,1
g37150.t1,0,0,0,0,0,0
g37151.t1,0,0,0,9,0,3
g37153.t1,0,0,0,3,0,2
g37154.t1,0,0,0,79,0,30
g37155.t1,0,43,0,38,0,24
g37156.t1,0,0,6,0,0,0
g37158.t1,0,7,0,14,3,9
g37160.t1,0,0,0,1,0,0
g37161.t1,0,0,0,10,0,0
g37162.t1,0,0,0,2,0,9
g37163.t1,0,0,0,0,0,0
g37168.t1,0,0,4,4,0,0
g37172.t1,0,0,0,0,0,6
g37175.t1,0,0,0,0,0,0
g37178.t1,0,0,0,0,0,0
g37181.t1,0,0,0,0,0,0
g37182.t1,0,0,0,0,0,0
g37183.t1,0,0,0,0,0,0
g37184.t1,0,0,0,0,0,0
g37185.t1,0,0,0,0,0,0
g37186.t1,0,0,0,0,0,0
g37147.t1,88,36,66,103,47,98
g37148.t1,1,0,0,0,0,0
g37149.t1,5,13,11,30,0,14
g37164.t1,3,0,2,4,2,6
g37165.t1,1,1,7,2,4,1
g37166.t1,71,44,61,290,57,227
g37167.t1,3,4,4,10,6,52
g37169.t1,65,17,32,62,32,79
g37170.t1,2,0,0,6,0,0
g37171.t1,336,50,156,195,109,102
g37173.t1,6,0,0,0,0,9
g37177.t1,4,4,4,4,3,4
g37179.t1,3,3,0,7,1,4
g37187.t1,35,12,23,92,36,86
g37204.t1,11,0,4,0,0,0
g37201.t1,0,3,4,6,3,3
g37198.t1,2784,1992,2548,2695,1752,2509
g37199.t1,127,62,165,55,174,89
g37200.t1,100,42,36,9,39,43
g37202.t1,635,274,260,517,277,585
g37203.t1,291,126,188,14,141,45
g37205.t1,1444,1057,1274,1531,1004,1758
g37206.t1,682,563,661,651,508,1245
g37207.t1,1809,1057,1424,922,1181,1093
g37212.t1,56,14,79,78,58,44
g37208.t1,795,622,1595,1190,1230,1806
g37209.t1,298,269,1069,962,934,1512
g37210.t1,880,593,602,427,485,397
g37211.t1,8635,5902,8599,10525,7578,10707
g37213.t1,1074,792,1721,1224,1169,1230
g37214.t1,299,61,270,289,114,259
g37215.t1,1605,973,1905,1914,1628,2038
g37216.t1,3138,2354,3451,3486,3005,4170
g37219.t1,27262,21316,23678,26216,19429,26019
g37220.t1,402,215,450,335,296,401
g37221.t1,482,261,326,436,200,429
g37230.t1,1570,922,3054,2031,2345,2297
g37222.t1,1065,552,388,1092,359,1079
g37223.t1,8217,10083,5417,8044,4583,6949
g37228.t1,616,504,622,506,497,794
g37229.t1,100,87,214,131,131,182
g37231.t1,1804,1013,2784,1501,2204,1902
g37232.t1,4933,2253,3872,3117,4514,4928
g37236.t1,2,2,0,4,3,0
g37233.t1,60,6,31,16,0,29
g37234.t1,2383,1080,1963,1878,1539,2114
g37235.t1,17759,8407,14049,16443,12338,15589
g37237.t1,7857,5262,12011,7089,10070,8214
g37238.t1,334,274,1322,425,951,516
g37239.t1,1191,291,1288,1244,970,1864
g37240.t1,555,442,825,902,764,1078
g37241.t1,250,131,337,333,330,325
g37242.t1,827,630,1035,783,907,1108
g37243.t1,27,17,312,20,107,34
g37244.t1,1418,588,2159,1722,1533,1516
g37245.t1,69,147,194,237,132,378
g37246.t1,76,34,349,84,221,63
g37248.t1,238,312,280,52,310,100
g37254.t1,62,59,214,59,228,117
g37260.t1,308,174,657,331,477,521
g37261.t1,253,141,525,232,411,276
g37262.t1,644,486,1185,823,1063,849
g37263.t1,232,123,1113,1024,756,962
g37264.t1,541,558,2808,2513,2441,2955
g37265.t1,476,282,1291,601,641,732
g37266.t1,146,110,268,82,150,214
g37267.t1,158,66,234,111,124,136
g37268.t1,1102,685,1097,951,776,1131
g37269.t1,1472,316,3403,1411,3074,834
g37273.t1,3389,1354,3311,3154,2449,4143
g37274.t1,33,10,25,30,28,73
g37295.t1,99,35,68,63,39,46
g37296.t1,6,6,21,25,6,0
g37297.t1,76,0,48,22,23,83
g37300.t1,187,82,143,81,105,185
g37301.t1,126,32,145,330,103,108
g37304.t1,3,17,0,4,2,3
