gene_id,1BS,1DS,2BS,2DS,3BS,3DS
g41661,234,145,223,254,242,319
g41662,292,87,147,149,105,214
g41663,2363,1239,2047,1894,1439,1777
g41664,1048,811,2179,1483,1341,1637
g41670,0,105,5,38,15,12
g41666,1541,1189,1829,2086,1361,1791
g41668,638,569,665,830,471,599
g41669,360,174,208,328,174,240
g41672,5191,2816,4263,4287,3203,4757
g41673,3077,3091,5800,5808,3813,4114
g41674,789,514,760,764,553,622
g41675,1038,748,1428,867,1058,1124
g41676,151,111,133,196,99,251
g41677,504,257,487,490,318,527
g41678,47,8,58,49,61,19
g41679,18548,6833,26993,42193,15131,17762
g41680,4748,2531,3901,4738,2939,2782
g41682,138,71,17,56,45,7
g41683,634,385,719,430,460,538
g41684,233,105,203,107,142,197
g41685,427,654,932,705,799,563
g41686,39,25,62,11,34,36
g41688,179,130,694,142,430,213
g41689,184,0,0,79,0,114
g41691,0,0,0,0,0,0
g41692,0,0,0,0,0,0
g41693,0,0,0,0,0,4
g41694,0,0,0,1,0,1
g41695,0,0,2,6,2,0
g41696,0,6,6,0,1,1
g41698,0,0,0,0,0,0
g41699,0,0,0,0,0,0
g41700,0,0,0,0,0,0
g41701,0,0,0,0,1,0
g41702,0,0,0,7,5,0
g41703,0,0,0,0,0,4
g41705,0,0,0,0,0,0
g41706,0,0,0,0,0,0
g41690,36,8,16,14,7,18
g41697,97,61,69,47,38,54
g41704,5,0,0,7,0,17
g41718,0,0,0,9,0,0
g41719,31,23,47,40,35,40
g41720,25,0,0,0,0,0
g41725,61,12,16,45,23,57
g41726,1,4,2,8,0,5
g41727,34,143,30,192,20,6
g41729,1392,1138,1246,2006,831,2176
g41730,1503,992,1775,1596,1485,1532
g41731,1265,945,1214,915,866,1823
g41732,2661,1380,2381,2570,1692,2532
g41733,5471,3364,4945,5769,4265,5609
g41734,1276,589,2890,2395,1899,1731
g41737,4263,2619,5305,4314,4374,4519
g41738,1660,632,1410,920,1084,1196
g41739,36,0,0,10,12,6
g41740,26,11,25,11,12,36
g41741,2280,802,1554,852,1109,1036
g41742,5481,4468,5973,13968,5241,6661
g41744,451,322,405,201,233,544
g41745,38,48,60,28,43,39
g41749,1377,713,1479,969,1024,1430
g41750,71,9,35,54,58,85
g41752,0,0,3,0,0,0
g41751,127,91,167,103,136,126
g41753,0,0,4,4,0,1
g41756,0,0,0,9,0,0
g41757,0,0,0,0,0,0
g41759,17,30,364,36,267,100
g41760,13,3,20,22,28,7
g41761,2,0,0,0,0,0
g41767,132,60,69,81,73,103
g41766,2248,1642,2415,2602,2111,2584
g41763,857,696,1054,784,1003,743
g41764,22135,13938,13625,35189,15933,24019
g41765,28930,15469,18098,35863,19305,24177
g41768,3266,2105,3425,2973,2015,3539
g41776,1122,710,1154,1323,679,782
g41782,24,0,6,7,0,28
g41783,987,550,666,685,710,634
g41784,186,92,152,138,100,317
g41786,149,51,183,51,109,211
g41785,890,395,1016,1068,727,1293
g41788,268,12,303,1836,235,660
g41789,20,4,37,249,32,71
g41796,171,107,127,113,71,155
g41797,153,49,6,43,4,96
g41793,1709,933,1538,1511,1064,1669
g41794,152,100,174,192,105,283
g41795,612,282,508,567,490,699
g41798,13529,7233,11237,11112,10005,10053
g41799,1319,1030,1723,2849,1505,1793
g41802,31,6,10,4,7,3
g41803,4,0,0,0,0,0
g41804,6,4,13,7,8,6
g41805,2,0,0,0,0,2
g41806,5,0,0,0,0,0
g41807,6,0,0,0,0,2
g41813,0,0,0,0,0,0
g41816,0,0,0,0,0,0
g41819,0,0,10,6,0,2
g41821,0,0,2,5,8,0
g41809,11,2,0,0,0,3
g41810,6,1,0,0,0,0
g41814,298,106,439,249,222,229
g41818,3,3,0,1,1,0
g41820,10,0,5,1,9,3
g41822,30,17,20,20,18,16
g41823,24,4,14,4,14,9
g41824,1329,833,1491,1300,964,1636
g41830,517,363,430,697,390,675
g41831,818,506,1118,918,712,998
g41832,4886,3653,4569,5009,4103,4620
g41833,1053,828,1300,989,807,1023
g41834,985,680,1012,1118,656,973
g41836,4,0,4,0,0,0
g41837,442,254,299,251,232,380
g41838,583,326,672,406,631,813
g41839,1,3,0,4,0,1
g41851,297,192,245,56,249,457
g41852,306,284,456,583,363,366
g41853,5,0,2,1,2,3
g41854,491,261,823,597,528,732
g41855,1149,694,1538,1304,1175,965
g41856,551,413,502,516,366,409
g41861,0,0,0,0,1,9
g41859,1,0,0,0,0,0
g41860,198,31,208,136,272,232
g41864,4,0,0,0,10,0
g41866,0,0,0,32,0,32
g41865,2,0,0,0,3,5
g41872,164,41,282,151,304,175
g41874,4,6,0,6,9,3
g41875,2,0,0,0,0,0
g41894,0,0,0,0,0,0
g41901,3,0,0,0,0,0
g41903,14,0,6,0,5,5
g41902,7209,4871,7291,9254,4807,9220
g41906,299,240,132,349,111,326
g41907,26,0,3,7,0,29
g41905,25707,17190,30446,31965,22666,32028
g41908,2772,52,224,3129,175,5511
g41911,5,2,0,5,0,0
g41916,7,2,11,3,6,3
g41926,16,2,4,7,1,13
g41927,53,14,14,27,28,37
g41930,1716,1270,1943,1532,1747,1757
g41931,6146,3800,9439,5635,6098,7613
g41933,3758,2016,3281,4051,2663,3173
g41934,769,338,646,352,350,697
g41935,988,495,778,887,710,899
g41967,89,51,58,38,60,38
g41968,22,0,27,40,6,15
g41970,3,0,19,0,14,3
g41971,1,0,0,7,0,5
g41972,328,377,448,212,399,662
g41973,3719,2195,2265,6225,1727,1764
g41974,781,572,1373,1141,1016,1504
g41975,48,12,34,86,40,176
g41976,1,2,3,4,5,3
g41977,105,38,61,172,79,366
g41943,0,2,1,1,1,0
g41945,0,0,3,0,0,0
g41946,0,2,0,8,1,0
g41956,0,8,0,6,0,0
g41937,9731,4991,7960,6568,6576,7995
g41938,239,85,223,332,257,196
g41939,100,17,50,31,33,115
g41940,2848,1293,2178,3974,1552,1537
g41941,7606,3631,4860,7949,3756,3007
g41942,13152,3881,5328,22202,3989,1604
g41944,1,1,3,2,3,0
g41947,6,21,23,5,4,6
g41948,139,56,101,181,61,99
g41949,170,104,213,161,83,172
g41950,1406,1191,1519,1481,1068,1456
g41951,893,664,956,841,905,1053
g41952,1376,715,1297,1264,768,1326
g41953,6324,3004,4382,6412,3830,3714
g41954,1189,775,1225,1168,1005,1163
g41955,3976,2452,4037,3098,3101,3705
g41957,527,177,0,221,2,288
g41959,679,479,873,403,578,815
g41960,1006,898,747,783,652,831
g41961,2082,1267,1443,1758,1217,1641
g41962,138,100,77,100,24,95
g41963,3,0,3,0,2,0
g41964,356,68,193,160,115,243
g41965,1522,1407,1460,1386,1583,1279
g41966,188,132,126,77,101,198
g41978,870,523,754,1240,691,736
g41979,1730,335,956,1836,1108,1899
g41980,2,0,0,1,2,1
g41981,13,33,215,267,146,98
g41982,344,304,1373,1170,881,1119
g41983,336,74,391,170,243,219
g41984,2129,848,1812,1587,1179,1657
g41985,752,821,681,669,474,497
g41986,272,189,433,2090,315,1654
g41987,2592,2153,2082,2594,1834,1996
g41988,326,386,436,434,333,595
g41989,118,73,164,112,105,210
g41990,711,655,1192,1190,751,1251
g41991,131,216,83,133,32,192
g41992,640,445,1139,260,744,392
g41993,166,128,248,199,189,332
g41995,116,76,1272,1612,796,3880
g41996,97,58,1024,1286,626,3055
g41997,63,51,144,41,118,117
g41999,395,249,574,425,358,550
g42000,1420,1094,1072,1494,1055,1275
g42001,171,85,164,80,167,135
g42010,54,66,129,135,70,213
g42012,34,21,87,135,58,241
g42013,5,1,0,9,2,10
g42015,24,10,1,20,1,20
g42016,720,453,371,1446,791,808
g42017,63,60,55,73,78,87
g42018,124,37,192,1605,481,580
g42019,191,111,70,46,59,95
g42020,679,396,715,1471,290,526
g42003,25469,13403,23117,22846,18600,22907
g42005,35627,21647,32167,35548,25422,36860
g42006,6687,4453,5479,7795,5196,8379
g42007,776,399,700,559,535,605
g42008,330,140,175,102,130,163
g42009,48,16,25,8,32,23
g42026,35,16,16,35,6,44
g42027,50,22,37,20,26,22
g42024,0,0,9,15,3,0
g42022,5467,4983,7634,10870,5229,6365
g42023,1,1,15,2,13,1
g42028,33,9,23,2,8,6
g42032,4503,3099,4018,4319,3717,6361
g42033,66,3,13,13,30,36
g42034,28,6,7,36,0,59
g42035,113,83,123,79,72,135
g42038,12,10,29,14,22,27
g42052,1,0,0,2,0,0
g42055,29,41,71,13,73,25
g42059,0,0,6,4,0,0
g42064,5,5,5,5,5,6
g42079,2,1,1,2,2,3
g42080,21,9,7,24,11,19
g42083,14,5,4,6,5,8
g42086,0,2,0,3,2,0
g42087,67,0,0,92,0,35
g42091,52,0,0,45,0,88
g42092,25,0,0,15,0,20
g42095,10,3,0,0,0,0
g42096,1,5,1,1,1,0
g42107,0,0,0,3,0,0
g42108,5,4,4,8,6,3
g42110,0,0,16,0,12,0
g42111,42,21,18,14,11,14
g42112,26,18,43,0,22,0
g42113,10,5,25,0,4,0
g42114,1,3,2,3,3,1
g42115,2,6,7,10,2,3
g42116,1,4,4,2,1,1
g42117,4,9,39,3,21,7
g42118,5,3,19,0,0,1
g42122,0,0,0,0,0,0
g42124,0,0,2,0,0,0
g42123,7,2,5,0,1,0
g42126,1,0,0,1,0,0
g42129,2,1,3,1,3,0
g42132,0,4,0,0,0,0
g42133,12,1,0,0,0,0
g42144,4,0,0,2,0,0
g42148,10,0,0,0,6,0
g42152,4,0,0,0,0,0
g42153,2,1,15,17,9,9
g42158,68,23,87,85,73,133
g42159,133,36,143,150,120,155
g42160,17,5,3,9,3,16
g42162,5,1,18,4,12,8
g42161,184,176,266,113,171,90
g42170,17,7,0,0,0,0
g42171,2,0,0,0,2,0
g42172,2,0,0,6,0,1
g42173,0,0,0,0,0,0
g42174,0,0,0,0,0,0
g42176,3,0,0,5,0,0
g42178,439,305,936,1355,314,406
g42183,2,4,0,0,0,1
g42187,384,227,754,623,362,314
g42188,93,14,16,35,19,49
g42189,229,270,685,410,471,511
g42190,1084,1283,2732,1471,1720,1565
g42191,29,6,42,14,25,21
g42194,11,2,21,5,11,9
g42195,3,1,5,7,12,6
g42196,194,45,13,17,21,17
g42197,34,15,18,15,16,22
g42198,0,0,0,0,0,0
g42200,3,5,2,4,3,5
g42201,0,0,0,0,0,0
g42199,964,747,1464,1537,1343,1667
g42203,354,391,371,521,480,505
g42206,3,14,8,0,9,5
g42207,3,2,3,2,1,3
g42208,31,28,28,23,22,35
g42209,142,143,172,188,171,159
g42210,379,240,354,425,325,479
g42211,610,312,502,712,480,520
g42212,3890,289,2031,1068,2637,7572
g42213,953,42,2153,1689,2186,2542
g42214,218,82,518,338,451,441
g42215,2306,2136,4425,1594,3077,2197
g42220,0,0,0,9,0,3
g42219,11,3,6,7,9,9
g42216,9838,6120,9484,7310,7447,6848
g42217,893,232,523,762,419,619
g42218,770,657,869,732,730,856
g42221,21216,6516,19797,19975,14666,18670
g42225,415,389,342,483,338,559
g42230,3,0,0,3,0,0
g42231,3,4,0,11,2,19
g42232,663,228,279,173,217,671
g42233,356,180,263,132,239,675
g42239,40,21,25,9,31,17
g42240,6,7,9,6,17,10
g42236,1722,957,1564,2047,1610,1701
g42237,72,32,132,67,75,119
g42238,241,264,230,399,219,59
g42248,63,0,11,19,18,56
g42249,6,9,6,9,5,4
g42250,11,9,10,6,0,13
g42251,21,4,9,10,10,28
g42258,3,0,1,1,0,1
g42263,5,9,7,4,5,3
g42252,196,174,136,148,151,222
g42253,56,79,71,65,82,84
g42254,15264,17018,18987,15429,14540,16756
g42270,34,11,16,6,16,2
g42271,0,0,0,0,0,0
g42273,43,33,18,24,39,26
g42274,2328,1575,2183,2426,1847,2895
g42275,4566,3452,9106,7261,5401,6636
g42280,21,94,0,0,0,0
g42300,54,41,0,0,0,0
g42301,205,35,135,135,101,303
g42305,838,0,816,9,492,3
g42306,718,318,642,683,413,613
g42307,318,57,195,49,114,203
g42308,4,0,1,2,4,4
g42309,4,0,0,0,0,5
g42310,214,278,191,147,97,520
g42284,0,0,0,1,0,0
g42285,0,0,0,0,0,0
g42286,0,0,0,0,0,0
g42281,1422,813,1217,1447,739,1618
g42282,1645,1081,2424,1604,3213,1810
g42283,1224,783,1130,1074,860,1021
g42288,14479,7511,12755,13472,9778,9836
g42289,7631,4840,6981,7145,5547,7523
g42290,538,414,867,642,625,673
g42291,6,20,45,31,27,25
g42292,3005,2186,2695,3215,2431,2748
g42293,105,23,103,112,113,57
g42294,339,107,257,256,172,215
g42295,188,63,67,83,129,85
g42296,1472,700,982,1557,622,659
g42297,567,268,603,502,407,540
g42299,32,37,40,13,36,61
g42311,832,227,397,164,245,913
g42312,20,18,14,0,12,0
g42316,0,0,0,0,0,0
g42313,100,31,44,0,15,0
g42317,305,73,84,0,17,0
g42319,120,515,209,0,122,0
g42323,14,24,28,0,13,0
g42324,11,4,9,11,12,11
g42331,3557,2954,3501,3746,3077,4913
g42332,1378,696,1196,1178,1085,1443
g42333,1939,1510,1871,1390,1548,2023
g42334,870,405,366,216,231,360
g42335,881,722,998,630,824,708
g42338,1710,706,1786,997,1318,1665
g42340,861,543,958,1073,684,859
g42342,551,278,964,1606,818,1324
g42343,14,0,26,0,5,13
g42339,49654,32199,50765,51441,38202,45574
g42344,614,574,458,518,366,851
g42345,388,318,771,628,648,588
g42346,612,317,322,413,274,480
g42347,855,491,418,609,298,935
g42348,1740,1692,966,1765,648,1272
g42349,165,106,195,155,171,185
g42350,371,255,286,297,235,345
g42351,709,546,606,705,463,907
g42352,229,155,213,344,129,389
g42353,126,48,119,114,54,280
g42354,13,21,202,0,62,11
g42356,0,0,0,0,0,0
g42355,53,0,26,25,34,82
g42360,26,19,8,31,16,39
g42361,6,5,3,10,0,10
g42362,12,20,7,28,1,29
g42364,80,84,43,0,39,2
g42366,41,0,65,0,52,0
g42375,932,264,406,1088,333,876
g42380,8,63,18,5,19,5
g42384,133,222,259,126,160,161
g42387,222,419,913,88,512,143
g42389,191,144,446,56,232,78
g42391,37,25,12,2,37,10
g42392,71,86,51,40,43,123
g42393,58,13,0,26,0,22
g42394,462,866,386,451,216,318
g42395,272,342,471,375,336,616
g42396,179,147,202,189,211,182
g42397,89,115,60,44,62,47
g42398,65,61,84,52,34,98
g42399,1196,734,836,918,693,1016
g42400,772,594,963,786,721,944
g42404,701,600,1002,702,726,1124
g42411,175,128,117,145,110,113
g42412,222,164,169,223,119,227
g42405,3295,2025,2973,3810,2604,4116
g42406,356,165,315,310,224,377
g42407,448,317,364,428,318,594
g42408,321,283,403,431,324,423
g42409,3796,2702,3910,4149,3332,4092
g42410,1525,1096,1522,1844,1414,1691
g42414,3565,211,2220,226,1105,4435
g42415,726,519,935,739,726,710
g42416,651,261,822,739,542,656
g42419,2,3,1,0,4,4
g42420,6,4,7,1,6,3
g42418,116,24,48,85,25,46
g42421,181,91,105,243,127,77
g42422,79,46,31,29,51,87
g42423,90,62,112,24,78,80
g42424,18,6,0,0,0,7
g42425,35,9,42,7,18,23
g42428,171,76,61,46,75,205
g42429,106,59,50,75,89,99
g42430,254,89,147,54,174,170
g42431,825,423,509,954,322,498
g42432,1051,505,1606,662,1033,1077
g42433,6135,3533,8928,6165,6401,7047
g42434,1638,1190,1693,1390,1430,2178
g42435,739,423,693,818,583,839
g42436,3509,1868,2569,3384,1916,3608
g42437,896,284,602,467,468,743
g42438,622,565,746,742,538,645
g42439,12317,3651,6363,8394,7042,7864
g42440,1257,314,657,1083,502,936
g42444,78,47,51,132,40,190
g42445,1403,768,1327,1938,872,2424
g42446,345,72,210,327,233,506
g42449,158,144,0,0,0,0
g42454,0,0,0,0,0,0
g42455,0,0,0,0,0,0
g42456,5,2,6,12,7,14
g42457,1015,21,0,0,0,0
g42458,112,193,0,0,0,0
g42459,1119,754,0,0,0,0
g42460,141,86,0,0,0,0
g42461,11,0,31,0,43,0
g42462,0,0,10,2,2,0
g42463,18,26,8,12,19,12
g42465,1,0,0,0,0,0
g42470,0,0,0,0,0,0
g42471,0,2,4,0,0,0
g42469,97,67,235,255,139,153
g42481,2,1,2,3,1,1
g42484,58,44,54,12,26,20
g42485,37,18,22,5,13,3
g42488,611,384,454,510,441,438
g42493,0,0,0,0,0,0
g42489,1134,937,1953,1574,1336,1580
g42490,4967,2404,3453,4245,2368,4944
g42491,189,58,148,112,68,200
g42492,16,4,8,4,3,8
g42494,156,90,86,118,84,193
g42495,10,2,1,0,2,3
g42496,46,24,88,111,65,97
g42498,3,2,7,13,6,12
g42499,66,12,44,54,28,109
g42509,230,305,461,422,428,444
g42510,14,29,0,1,0,8
g42511,18,18,1,0,0,1
g42512,8,29,4,0,6,1
g42516,0,0,0,0,0,0
g42519,0,0,0,0,0,0
g42517,57,44,12,11,30,24
g42518,1,0,0,0,0,2
g42520,4,0,0,0,0,2
g42523,1,2,4,2,13,1
g42513,664,875,418,363,308,485
g42514,134,113,218,271,151,210
g42515,81,70,133,115,111,96
g42524,4,0,0,0,0,0
g42525,19,10,30,19,20,26
g42528,169,153,104,128,121,97
g42529,7,2,5,5,1,6
g42530,4,1,1,0,5,3
g42531,0,13,2,0,4,12
g42535,337,59,161,182,195,258
g42537,358,230,374,287,297,301
g42538,14,5,8,8,12,3
g42552,76,22,32,34,43,49
g42554,3,0,6,0,0,0
g42559,20,12,27,26,14,7
g42566,0,0,0,2,0,0
g42565,86,55,76,85,64,89
g42569,12,13,16,9,11,9
g42570,345,357,343,265,271,338
g42571,3264,1655,2732,2957,2387,2693
g42573,9,4,3,15,10,30
g42574,29,0,10,4,10,8
g42575,14,10,1,15,5,23
g42576,36,0,9,0,13,0
g42577,198133,89360,171449,173082,127862,94955
g42580,2137,1533,3353,2763,2126,2697
g42581,4884,5755,6601,10235,5676,6773
g42582,3241,2193,3092,3252,2254,3499
g42592,0,2,0,0,0,0
g42585,403,617,458,644,344,424
g42586,39,27,12,18,12,44
g42587,6,2,1,0,0,2
g42588,349,66,154,275,96,473
g42589,303,6,103,84,61,147
g42590,27,0,12,10,4,10
g42591,93,0,58,63,26,87
g42593,9,7,0,0,0,7
g42596,4,186,3,2,1,3
g42597,1,2,1,0,1,0
g42598,9,23,4,0,0,0
g42599,23,81,146,24,156,17
g42600,7923,4161,6356,8346,5767,8840
g42601,1308,558,1060,1385,601,1424
g42605,0,0,3,5,2,0
g42604,919,443,936,802,600,891
g42606,23,15,68,26,30,45
g42607,708,328,717,693,557,674
g42614,214,85,23,232,27,25
g42610,297,223,404,352,279,586
g42612,1280,877,823,1883,508,2430
g42613,2416,638,240,1667,261,132
g42615,0,0,0,6,0,0
g42616,713,1022,1364,309,777,801
g42617,2228,1051,1059,2672,730,1456
g42618,2995,1957,2607,2390,2283,2221
g42619,1919,684,1087,1830,1047,1150
g42620,1338,717,1244,1268,828,1097
g42631,196,151,145,145,107,174
g42621,448,262,479,470,271,449
g42622,330,208,391,498,276,609
g42623,1204,988,1785,1978,1065,2117
g42624,26,9,10,5,3,38
g42625,12,18,14,8,8,26
g42627,44,3,19,0,7,64
g42628,14,10,10,7,9,37
g42633,0,2,3,3,11,1
g42634,0,7,9,0,0,0
g42640,0,0,2,0,4,0
g42635,25,15,250,59,193,7
g42636,1,0,31,0,63,0
g42638,5,3,11,2,11,0
g42639,15,10,20,27,40,15
g42642,2494,1654,4357,1580,3422,1370
g42645,17,4,8,11,4,12
g42646,295,145,506,296,326,344
g42647,80,54,86,111,46,132
g42649,68,50,301,58,296,93
g42656,6323,4018,4170,6124,3276,5033
g42661,40,9,16,13,11,17
g42660,4254,2165,6342,3337,3908,4451
g42662,247,131,170,281,198,299
g42663,26,32,54,47,31,49
g42675,4,6,0,0,0,0
g42677,28,5,20,19,27,30
g42681,0,0,0,5,0,0
g42684,0,0,0,8,0,0
g42686,1,0,2,1,0,0
g42687,2,0,0,6,0,0
g42689,2,0,0,0,0,0
g42690,2,2,9,0,2,2
g42692,0,0,0,0,0,0
g42695,2,0,0,0,0,0
g42701,0,0,0,0,0,0
g42704,3,0,0,0,0,0
g42722,6,0,0,0,0,0
g42732,3,60,137,73,126,65
g42733,2,0,10,5,4,3
g42734,0,2,4,2,6,0
g42736,5,1,0,2,0,1
g42737,5,0,0,2,0,5
g42738,78,90,54,124,40,71
g42801,9,0,13,0,9,0
g42803,0,0,0,1,0,0
g42802,1,1,1,2,1,0
g42804,1,0,1,0,1,0
g42806,1,0,0,0,0,0
g42748,0,0,0,0,0,0
g42753,0,0,11,0,0,0
g42754,0,0,0,0,6,0
g42759,0,0,0,0,0,0
g42762,0,0,0,0,0,0
g42765,0,0,2,0,0,0
g42766,0,0,0,0,0,0
g42767,0,0,0,3,0,0
g42770,0,0,0,0,0,0
g42777,0,0,0,0,0,0
g42787,0,0,0,0,0,0
g42789,0,0,0,0,0,0
g42790,0,0,0,0,0,0
g42792,0,0,8,0,0,5
g42795,0,0,0,0,0,0
g42798,0,0,9,0,1,0
g42739,1052,313,746,832,517,1079
g42743,29,23,53,27,44,23
g42744,93,73,105,178,106,150
g42745,4,0,0,4,0,6
g42746,39,23,14,101,5,73
g42747,2,0,0,0,0,4
g42749,1,12,76,0,107,0
g42750,70,15,15,15,16,13
g42751,33,5,16,8,11,13
g42756,40,58,77,41,40,98
g42757,24,63,52,42,52,111
g42758,2,0,0,8,0,6
g42760,186,141,116,186,91,154
g42761,31,65,228,69,149,61
g42768,128,52,113,118,97,100
g42769,15,4,9,6,8,3
g42774,37,16,103,17,88,15
g42778,150,66,128,125,76,121
g42779,2,3,2,1,4,4
g42784,43,50,211,163,155,145
g42788,4,0,0,0,0,0
g42791,7,5,7,22,11,25
g42796,8,3,13,6,9,16
g42797,1378,561,957,937,774,1962
g42799,1,0,0,1,0,1
g42808,234,365,239,373,157,240
g42809,3162,1416,2046,1521,1608,1340
g42810,753,466,527,2955,512,3016
g42811,814,765,1105,595,953,653
g42812,38,0,3,0,5,0
g42813,34,0,3,0,0,0
g42814,4,0,2,1,2,4
g42815,2,0,8,1,4,0
g42823,76,83,107,377,77,74
g42817,34,18,1257,30,628,55
g42818,1293,578,7301,59,4797,92
g42819,177,53,867,128,773,207
g42820,5555,1073,9960,6873,7633,7659
g42821,3,0,20,0,19,5
g42822,316,420,186,429,150,338
g42824,2,0,3,0,7,0
g42825,669,603,643,944,470,696
g42826,519,357,529,339,489,378
g42829,1347,814,1174,1292,974,1181
g42830,1403,488,988,717,959,638
g42831,346,166,228,292,203,283
g42833,4,0,0,0,4,0
g42834,997,232,531,433,328,875
g42835,404,232,588,653,358,382
g42856,4,57,0,2,0,3
g42859,5,0,0,0,0,0
g42860,10,0,5,0,8,4
g42848,0,0,0,0,0,0
g42849,0,0,0,0,0,0
g42850,0,4,7,0,9,11
g42851,0,4,7,14,5,0
g42852,0,5,0,0,0,0
g42853,0,0,0,2,0,0
g42854,0,0,0,0,0,0
g42836,281,178,241,259,209,305
g42837,71,22,113,39,77,67
g42838,25,27,35,20,5,13
g42839,97,45,19,27,9,65
g42840,20,3,11,73,13,18
g42841,48,14,43,12,29,31
g42842,92,3,61,403,38,66
g42843,867,115,178,1521,138,66
g42845,103,40,123,41,59,16
g42846,979,560,793,354,776,303
g42847,58,19,102,61,45,54
g42861,78,16,8,34,16,47
g42864,0,0,3,0,0,0
g42868,0,0,0,0,0,0
g42862,1,10,2,3,1,2
g42863,55,60,54,68,23,112
g42866,4,4,0,8,0,7
g42869,125,31,80,107,55,108
g42870,66,19,62,118,63,124
g42875,2,1,0,8,0,7
g42876,3,0,0,1,0,3
g42877,115,19,0,83,0,175
g42880,0,9,19,12,16,12
g42879,6,12,8,10,0,13
g42881,132,63,72,0,79,0
g42882,6,5,2,0,0,2
g42928,13,8,31,5,7,10
g42929,6,6,15,2,4,4
g42931,0,0,0,4,0,0
g42930,2,1,3,1,3,2
g42934,14,6,7,4,7,5
g42935,9,10,5,11,11,13
g42936,5,2,1,2,2,1
g42898,0,0,0,0,0,0
g42899,0,0,4,0,0,0
g42900,0,0,0,0,0,0
g42901,0,0,0,0,0,0
g42902,0,0,0,3,0,0
g42903,0,0,0,0,0,0
g42904,0,0,0,0,0,0
g42919,0,1,6,0,1,2
g42920,0,0,0,0,0,0
g42922,0,1,0,1,1,0
g42923,0,0,2,0,1,1
g42927,0,0,0,0,1,0
g42897,1,1,2,1,0,0
g42921,15,13,14,9,10,12
g42926,4,0,0,0,0,0
g42939,0,0,0,4,0,0
g42950,0,0,2,0,0,0
g42959,12,16,0,23,0,23
g42961,117,122,0,243,0,111
g42962,2,0,0,0,0,4
g42963,0,0,0,0,0,0
g42966,12,0,0,0,0,0
g42969,2,1,3,2,1,1
g42970,0,0,0,0,0,0
g42976,2,2,1,0,1,1
g42977,2,0,0,0,0,0
g42978,4,0,1,1,1,2
g42979,2,0,1,0,0,0
g42981,0,0,0,0,0,0
g42982,3,0,0,0,0,0
g42990,5,7,0,0,0,0
g42991,0,0,0,0,0,0
g42993,5,5,0,8,0,0
g42996,7,1,7,12,10,7
g43002,11,0,7,42,8,146
g43004,14,0,12,28,11,37
g43005,2,0,6,23,11,37
g43006,2,0,0,18,2,13
g43008,0,0,3,0,0,0
g43014,0,0,0,0,2,2
g43019,495,267,605,908,698,598
g43015,3481,1943,3308,2687,2403,2564
g43016,1111,965,1204,2224,734,1167
g43017,7,0,10,15,30,36
g43018,50,14,65,46,140,168
g43020,1346,1176,1458,1880,1230,849
g43021,386,246,289,340,190,331
g43022,900,542,1729,845,1180,1647
g43023,1933,1136,1865,2077,1330,2083
g43024,0,0,4,0,0,2
g43025,0,0,0,0,0,0
g43026,350,274,456,527,391,341
g43027,305,96,111,71,155,412
g43028,3,0,4,2,1,4
g43029,101,16,14,87,23,46
g43030,2373,247,375,2004,224,365
g43031,1285,867,1376,1320,1106,1403
g43032,9243,5450,9069,13198,6084,9978
g43033,1092,769,1256,1173,831,1335
g43034,42463,19903,37634,40014,31422,37277
g43035,27,1,26,18,20,32
g43036,708,581,493,659,365,1157
g43037,1585,938,1659,2416,1035,1835
g43038,298,210,151,238,208,167
g43039,472,330,603,467,388,374
g43040,1561,1174,1869,1621,1024,1679
g43041,755,647,305,1073,280,364
g43043,119,144,106,83,58,72
g43044,241,202,163,231,148,339
g43045,713,161,294,167,197,530
g43046,820,492,769,1587,583,501
g43047,1286,106,577,945,590,641
g43049,42,16,44,54,40,42
g43048,4651,3239,6787,6303,4080,3127
g43050,2316,963,1482,1721,1399,1808
g43051,346,149,434,342,361,342
g43052,6056,1812,5069,11767,3789,3848
g43053,1287,333,807,747,739,774
g43055,6,0,15,9,9,4
g43054,5077,3386,4777,5334,3536,5653
g43059,7,108,0,10,0,4
g43056,8927,5424,6448,7235,5488,6856
g43057,330,200,299,340,325,316
g43058,1049,502,1146,1074,910,830
g43060,324,212,448,478,321,397
g43061,202,114,110,189,74,235
g43066,12,0,11,0,11,12
g43067,90,46,0,0,0,0
g43068,44,16,62,57,22,40
g43069,408,106,484,234,363,719
g43070,6,10,12,4,9,7
g43071,11,6,11,8,4,4
g43072,133,50,103,110,111,66
g43074,63,43,114,77,59,75
g43075,6,0,0,9,5,16
g43076,127,138,245,177,181,328
g43077,33,36,55,52,50,80
g43079,3,6,7,1,2,6
g43080,8,15,30,37,18,26
g43081,1,0,0,1,0,0
g43082,3,0,0,0,0,0
g43083,161,126,215,235,130,228
g43085,250,126,253,508,195,346
g43093,2,1,1,1,2,1
g43094,2691,1987,3329,2533,2410,3299
g43095,798,693,677,757,641,903
g43097,91,7,35,24,45,37
g43096,2847,1898,3405,3053,2490,3251
g43098,2088,1311,2597,2005,1706,2108
g43099,376,253,606,435,395,521
g43100,467,356,930,698,637,345
g43103,9,2,4,0,9,9
g43101,7012,3128,4512,6987,3288,6457
g43107,30,28,43,26,47,23
g43108,147,94,69,70,54,84
g43110,894,830,1292,1343,882,980
g43111,27,10,10,3,17,7
